birds, neural network result (jump), currentFitness
1,-19.222,8.682453
1,16.97482,8.690778
1,-12.11219,8.699102
1,23.4271,8.707427
1,-12.68305,8.715752
1,15.75161,8.724076
1,-11.21261,8.732401
1,6.113288,8.740726
1,-18.59532,8.74905
1,-4.301486,8.757375
1,-11.82799,8.765699
1,-1.620646,8.774024
1,7.806386,8.782349
1,10.88419,8.790673
1,22.55449,8.798998
1,15.25157,8.807323
1,19.18792,8.815647
1,-7.243389,8.823972
1,22.26142,8.832296
1,11.91531,8.840621
1,38.88578,8.848946
1,12.99167,8.85727
1,-12.8598,8.865595
1,10.28152,8.873919
1,8.23645,8.882244
1,2.512088,8.890569
1,25.30201,8.898893
1,15.48833,8.907218
1,6.772685,8.915543
1,38.09574,8.923867
1,-2.355708,8.932192
1,20.88107,8.940516
1,-2.03573,8.948841
1,-0.484681,8.957166
1,20.31013,8.96549
1,-9.948536,8.973815
1,-10.11544,8.98214
1,6.043036,8.990464
1,-11.71495,8.998789
1,-11.97345,9.007113
1,-8.33842,9.015438
1,-14.73546,9.023763
1,-6.540475,9.032087
1,-3.119879,9.040412
1,-15.93624,9.048737
1,13.52038,9.057061
1,11.96113,9.065386
1,0.207306,9.07371
1,-2.720404,9.082035
1,-0.844555,9.09036
1,-6.862853,9.098684
1,-10.58919,9.107009
1,-21.0537,9.115334
1,-7.439462,9.123658
1,-16.14545,9.131983
1,-0.584025,9.140307
1,9.79743,9.148632
1,6.261504,9.156957
1,-6.91884,9.165281
1,11.69124,9.173606
1,-24.60441,9.181931
1,-1.301601,9.190255
1,0.116533,9.19858
1,16.43427,9.206904
1,13.15972,9.215229
1,-5.745845,9.223554
1,-6.146302,9.231878
1,-1.958419,9.240203
1,7.655485,9.248528
1,1.021336,9.256852
1,-17.02511,9.265177
1,-0.476777,9.273501
1,14.36373,9.281826
1,7.340964,9.290151
1,-10.27678,9.298475
1,-11.94429,9.3068
1,-3.795277,9.315125
1,16.06435,9.323449
1,-10.496,9.331774
1,-5.087059,9.340098
1,16.9282,9.348423
1,12.15734,9.356748
1,-16.29296,9.365072
1,-2.002024,9.373397
1,8.464086,9.381721
1,7.650635,9.390046
1,-13.33954,9.398371
1,4.695476,9.406695
